,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Safety Index
797,ANDHRA PRADESH,GUNTAKAL RAILWAY,2012,1,0,1,1,1,2,0,99.88
798,ANDHRA PRADESH,GUNTUR,2012,23,53,21,252,83,656,0,86.44666666666666
799,ANDHRA PRADESH,GUNTUR URBAN,2012,24,32,9,84,83,687,0,90.52
800,ANDHRA PRADESH,HYDERABAD CITY,2012,74,31,23,145,141,1339,0,81.74
801,ANDHRA PRADESH,KARIMNAGAR,2012,40,98,46,224,232,759,0,81.61999999999999
802,ANDHRA PRADESH,KHAMMAM,2012,78,62,13,233,172,231,0,86.29999999999998
803,ANDHRA PRADESH,KRISHNA,2012,67,55,16,341,309,791,0,79.10666666666667
804,ANDHRA PRADESH,KURNOOL,2012,22,46,15,331,75,166,0,88.66666666666667
805,ANDHRA PRADESH,MAHABOOB NAGAR,2012,56,70,27,154,45,204,0,89.95333333333333
806,ANDHRA PRADESH,MEDAK,2012,26,45,20,112,55,475,0,90.95333333333332
807,ANDHRA PRADESH,NALGONDA,2012,52,79,20,246,264,302,0,84.69333333333333
808,ANDHRA PRADESH,NELLORE,2012,23,72,9,210,142,405,0,88.06666666666666
809,ANDHRA PRADESH,NIZAMABAD,2012,35,23,19,100,102,596,0,90.02000000000001
810,ANDHRA PRADESH,PRAKASHAM,2012,37,69,16,213,47,263,0,89.50666666666666
811,ANDHRA PRADESH,RAJAHMUNDRY,2012,13,5,3,49,35,183,0,96.58
812,ANDHRA PRADESH,RANGA REDDY,2012,27,21,16,58,31,152,0,95.24000000000001
813,ANDHRA PRADESH,SECUNDERABAD RAILWAY,2012,2,0,0,5,5,0,0,99.75333333333333
814,ANDHRA PRADESH,SRIKAKULAM,2012,39,18,3,116,69,312,0,92.53999999999999
815,ANDHRA PRADESH,TIRUPATHI URBAN,2012,12,14,6,21,11,96,0,97.74
816,ANDHRA PRADESH,VIJAYAWADA CITY,2012,47,39,16,223,418,1136,0,78.94
817,ANDHRA PRADESH,VIJAYAWADA RAILWAY,2012,0,3,0,5,6,1,0,99.73333333333332
818,ANDHRA PRADESH,VISAKHA RURAL,2012,27,13,9,67,20,134,0,95.77333333333334
819,ANDHRA PRADESH,VISAKHAPATNAM,2012,50,20,11,23,11,412,0,93.74666666666667
820,ANDHRA PRADESH,VIZIANAGARAM,2012,44,20,3,96,103,363,0,91.89333333333335
821,ANDHRA PRADESH,WARANGAL,2012,56,58,20,117,34,101,0,92.08
822,ANDHRA PRADESH,WARANGAL URBAN,2012,30,39,9,71,74,267,0,93.27333333333334
823,ANDHRA PRADESH,WEST GODAVARI,2012,130,59,19,296,235,757,0,78.49333333333334
824,ANDHRA PRADESH,TOTAL,2012,1341,1403,504,4816,3714,13389,0,-242.95333333333332
825,ARUNACHAL PRADESH,ANJAW,2012,0,1,0,0,0,0,0,99.97333333333333
826,ARUNACHAL PRADESH,CHANGLANG,2012,6,7,1,5,0,4,0,99.41333333333333
827,ARUNACHAL PRADESH,DIBANG VALLEY,2012,2,4,0,2,0,1,0,99.76666666666667
828,ARUNACHAL PRADESH,K/KUMEY,2012,2,1,0,1,0,0,0,99.87333333333333
829,ARUNACHAL PRADESH,KAMENG EAST,2012,6,2,0,1,0,0,0,99.68666666666667
830,ARUNACHAL PRADESH,KAMENG WEST,2012,0,1,0,1,0,2,0,99.94
831,ARUNACHAL PRADESH,LOHIT,2012,3,5,0,11,0,2,0,99.51333333333332
832,ARUNACHAL PRADESH,PAPUM PARE,2012,7,15,0,8,2,3,0,99.11333333333333
833,ARUNACHAL PRADESH,RURAL,2012,6,3,0,8,0,1,0,99.51333333333332
834,ARUNACHAL PRADESH,SIANG EAST,2012,6,0,0,4,0,1,0,99.67333333333332
835,ARUNACHAL PRADESH,SIANG UPPER,2012,1,3,0,0,0,3,0,99.86000000000001
836,ARUNACHAL PRADESH,SIANG WEST,2012,2,4,0,6,0,7,0,99.64666666666666
837,ARUNACHAL PRADESH,SUBANSIRI LOWER,2012,0,2,0,5,0,2,0,99.83333333333333
838,ARUNACHAL PRADESH,SUBANSIRI UPPER,2012,4,4,0,11,0,0,0,99.51333333333332
839,ARUNACHAL PRADESH,TAWANG,2012,0,0,0,1,0,0,0,99.97999999999999
840,ARUNACHAL PRADESH,TIRAP,2012,1,6,0,2,0,0,0,99.76
841,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2012,0,0,0,1,0,0,0,99.97999999999999
842,ARUNACHAL PRADESH,TOTAL,2012,46,58,1,67,2,26,0,95.03999999999999
843,ASSAM,BAKSA,2012,33,50,3,4,0,15,0,97.06666666666666
844,ASSAM,BARPETA,2012,98,224,5,67,0,638,0,84.34666666666666
845,ASSAM,BIEO,2012,0,0,0,0,0,0,0,100.0
846,ASSAM,BONGAIGAON,2012,50,59,6,15,0,169,0,94.80000000000001
847,ASSAM,CID,2012,4,1,0,0,0,0,0,99.81333333333333
848,ASSAM,CACHAR,2012,94,163,19,11,0,551,0,87.36666666666666
849,ASSAM,CHIRANG,2012,24,30,0,11,0,78,0,97.5
850,ASSAM,DARRANG,2012,88,168,9,246,0,387,0,84.2
851,ASSAM,DHEMAJI,2012,74,61,2,17,0,82,0,94.46
852,ASSAM,DHUBRI,2012,159,305,13,218,1,729,0,75.84
853,ASSAM,DIBRUGARH,2012,50,75,0,138,0,316,0,91.13333333333333
854,ASSAM,G.R.P.,2012,3,3,2,3,1,10,0,99.59333333333333
855,ASSAM,GOALPARA,2012,65,68,3,97,0,323,0,91.39333333333333
856,ASSAM,GOLAGHAT,2012,60,154,1,72,0,226,0,90.51333333333334
857,ASSAM,GUWAHATI CITY,2012,78,326,9,90,0,237,0,84.50666666666666
858,ASSAM,HAILAKANDI,2012,56,65,6,52,0,125,0,93.95333333333333
859,ASSAM,HAMREN,2012,3,12,0,2,0,3,0,99.5
860,ASSAM,JORHAT,2012,42,95,1,53,0,254,0,93.0
861,ASSAM,KAMRUP,2012,54,107,5,70,0,172,0,92.27333333333334
862,ASSAM,KARBI ANGLONG,2012,28,50,0,4,0,30,0,97.26666666666667
863,ASSAM,KARIMGANJ,2012,32,85,11,4,0,262,0,94.26
864,ASSAM,KOKRAJHAR,2012,27,65,3,31,0,84,2,95.81333333333333
865,ASSAM,LAKHIMPUR,2012,62,97,0,25,0,19,0,94.30666666666667
866,ASSAM,MORIGAON,2012,58,88,4,25,0,115,0,93.93333333333332
867,ASSAM,N.C.HILLS,2012,5,13,0,0,0,0,0,99.45333333333335
868,ASSAM,NAGAON,2012,173,348,10,245,3,875,0,72.69333333333334
869,ASSAM,NALBARI,2012,34,89,3,83,0,131,0,93.63333333333333
870,ASSAM,R.P.O.,2012,0,6,0,0,0,0,0,99.84
871,ASSAM,SIBSAGAR,2012,78,153,5,134,0,269,0,88.16000000000001
872,ASSAM,SONITPUR,2012,97,220,11,39,0,124,0,88.28
873,ASSAM,TINSUKIA,2012,64,142,1,43,0,137,0,91.84666666666666
874,ASSAM,UDALGURI,2012,23,38,8,41,0,46,0,96.67333333333333
875,ASSAM,TOTAL,2012,1716,3360,140,1840,5,6407,2,-142.57999999999998
876,BIHAR,ARARIA,2012,53,78,21,8,7,32,0,94.63333333333333
877,BIHAR,ARWAL,2012,5,24,13,0,0,22,0,98.58000000000001
878,BIHAR,AURANGABAD,2012,22,58,27,2,0,110,0,95.9
879,BIHAR,BAGAHA,2012,11,69,9,0,0,37,0,97.17333333333332
880,BIHAR,BANKA,2012,17,45,17,0,0,37,0,97.30666666666666
881,BIHAR,BEGUSARAI,2012,11,113,27,0,0,79,0,95.12
882,BIHAR,BETTIAH,2012,35,141,28,0,0,20,0,93.77333333333333
883,BIHAR,BHABHUA,2012,10,38,21,0,0,42,0,97.60666666666667
884,BIHAR,BHAGALPUR,2012,31,106,24,0,4,119,0,94.28666666666666
885,BIHAR,BHOJPUR,2012,9,69,38,0,0,56,0,96.16
886,BIHAR,BUXAR,2012,21,70,28,29,0,86,0,95.20666666666668
887,BIHAR,DARBHANGA,2012,44,150,34,0,1,377,0,90.58
888,BIHAR,GAYA,2012,35,120,53,0,0,92,0,93.02
889,BIHAR,GOPALGANJ,2012,20,89,43,0,0,190,0,94.12666666666667
890,BIHAR,JAMALPUR RAILWAY,2012,1,0,0,0,0,0,0,99.96000000000001
891,BIHAR,JAMUI,2012,27,43,18,2,0,65,0,96.7
892,BIHAR,JEHANABAD,2012,8,41,24,0,0,37,0,97.53999999999999
893,BIHAR,KATIHAR,2012,73,112,24,1,1,111,0,92.52000000000001
894,BIHAR,KATIHAR RAILWAY,2012,0,6,0,1,0,1,0,99.81333333333333
895,BIHAR,KHAGARIA,2012,18,34,12,0,0,41,0,97.69999999999999
896,BIHAR,KISHANGANJ,2012,32,71,19,0,0,50,0,95.86
897,BIHAR,LAKHISARAI,2012,13,28,10,3,0,55,0,97.97333333333333
898,BIHAR,MADHEPURA,2012,31,56,15,0,2,46,0,96.43333333333332
899,BIHAR,MADHUBANI,2012,31,163,27,0,0,195,0,92.21333333333334
900,BIHAR,MOTIHARI,2012,22,198,67,0,16,156,0,90.35333333333334
901,BIHAR,MUNGER,2012,9,49,8,1,0,40,0,97.78
902,BIHAR,MUZAFFARPUR,2012,34,220,83,0,0,80,3,89.33333333333334
903,BIHAR,MUZAFFARPUR RAILWAY,2012,2,0,0,0,0,0,0,99.92000000000002
904,BIHAR,NALANDA,2012,11,85,79,7,1,116,0,93.73333333333333
905,BIHAR,NAUGACHIA,2012,2,18,10,0,0,64,0,98.68
906,BIHAR,NAWADAH,2012,18,57,29,0,0,13,0,96.70666666666668
907,BIHAR,PATNA,2012,49,300,97,19,1,377,0,83.9
908,BIHAR,PATNA RAILWAY,2012,2,5,3,16,0,2,0,99.35333333333332
909,BIHAR,PURNEA,2012,39,95,17,8,4,0,1,95.07999999999998
910,BIHAR,ROHTAS,2012,26,94,44,15,0,92,0,94.07333333333334
911,BIHAR,SAHARSA,2012,16,76,10,0,0,72,0,96.52
912,BIHAR,SAMASTIPUR,2012,24,112,34,0,0,114,0,94.16
913,BIHAR,SARAN,2012,23,137,74,0,0,138,0,92.04
914,BIHAR,SHEIKHPURA,2012,10,27,8,0,0,37,0,98.36666666666666
915,BIHAR,SHEOHAR,2012,2,22,9,3,0,9,0,98.91333333333334
916,BIHAR,SITAMARHI,2012,20,143,30,0,0,100,0,93.72
917,BIHAR,SIWAN,2012,20,166,64,2,0,101,0,91.92666666666666
918,BIHAR,SUPAUL,2012,20,90,15,0,0,79,0,95.77333333333334
919,BIHAR,VAISHALI,2012,20,171,62,1,0,196,0,91.24666666666667
920,BIHAR,TOTAL,2012,927,3789,1275,118,37,3686,4,-108.23333333333335
921,CHHATTISGARH,BALOD,2012,22,6,4,50,1,9,0,97.75333333333334
922,CHHATTISGARH,BALODA BAZAR,2012,45,18,0,98,10,37,0,95.38
923,CHHATTISGARH,BALRAMPUR,2012,64,0,0,52,2,30,0,96.17333333333333
924,CHHATTISGARH,BEMETARA,2012,24,18,3,61,5,29,0,96.98
925,CHHATTISGARH,BILASPUR,2012,47,28,10,169,11,95,0,92.88
926,CHHATTISGARH,BIZAPUR,2012,4,3,0,5,0,1,0,99.65333333333334
927,CHHATTISGARH,DANTEWARA,2012,7,1,0,4,0,5,0,99.58
928,CHHATTISGARH,DHAMTARI,2012,21,2,1,36,11,15,0,98.10666666666665
929,CHHATTISGARH,DURG,2012,91,47,9,178,25,111,0,90.17333333333333
930,CHHATTISGARH,GARIYABAND,2012,19,2,1,28,5,6,0,98.48666666666666
931,CHHATTISGARH,GRP RAIPUR,2012,2,6,0,5,0,2,0,99.64666666666666
932,CHHATTISGARH,JAGDALPUR,2012,36,10,0,20,0,8,0,97.84
933,CHHATTISGARH,JANJGIR,2012,33,19,11,104,13,123,0,94.73333333333332
934,CHHATTISGARH,JASHPUR,2012,80,19,2,29,0,31,0,95.44
935,CHHATTISGARH,KABIRDHAM,2012,22,14,1,58,2,20,0,97.39333333333333
936,CHHATTISGARH,KANKER,2012,23,6,2,18,1,19,0,98.35333333333332
937,CHHATTISGARH,KONDAGAON,2012,11,0,0,4,3,2,0,99.42666666666666
938,CHHATTISGARH,KORBA,2012,43,15,4,59,7,42,0,96.19333333333333
939,CHHATTISGARH,KORIYA,2012,42,12,5,86,2,65,0,95.65333333333334
940,CHHATTISGARH,MAHASAMUND,2012,28,37,4,63,4,33,0,96.22666666666667
941,CHHATTISGARH,MUNGELI,2012,6,13,2,24,3,26,0,98.65333333333334
942,CHHATTISGARH,NARAYANPUR,2012,5,1,0,4,2,0,0,99.66666666666667
943,CHHATTISGARH,RAIGARH,2012,69,14,6,81,8,55,0,94.57333333333332
944,CHHATTISGARH,RAIPUR,2012,111,14,8,148,38,109,0,90.72666666666666
945,CHHATTISGARH,RAJNANDGAON,2012,31,7,3,52,7,17,0,97.22666666666667
946,CHHATTISGARH,SARGUJA,2012,73,18,0,89,1,25,0,94.64
947,CHHATTISGARH,SUKMA,2012,1,5,0,2,0,2,0,99.77333333333334
948,CHHATTISGARH,SURAJPUR,2012,74,15,5,74,1,63,0,94.56
949,CHHATTISGARH,TOTAL,2012,1034,350,81,1601,162,980,0,5.8933333333333415
950,GOA,NORTH GOA,2012,26,10,0,29,14,11,0,97.85333333333334
951,GOA,SOUTH GOA,2012,29,6,0,20,2,13,0,98.16666666666666
952,GOA,TOTAL,2012,55,16,0,49,16,24,0,96.02000000000001
953,GUJARAT,AHMEDABAD COMMR.,2012,63,183,11,79,7,1448,0,80.90666666666667
954,GUJARAT,AHMEDABAD RURAL,2012,5,67,0,33,0,163,0,96.26666666666667
955,GUJARAT,AHWA-DANG,2012,1,1,0,1,1,8,0,99.84666666666668
956,GUJARAT,AMRELI,2012,10,75,0,20,7,146,0,96.13333333333333
957,GUJARAT,ANAND,2012,9,53,0,22,1,188,0,96.52
958,GUJARAT,BHARUCH,2012,12,22,0,19,1,0,0,98.53999999999999
959,GUJARAT,BHAVNAGAR,2012,13,96,0,30,42,221,0,94.28666666666666
960,GUJARAT,CID CRIME,2012,1,0,0,0,0,0,0,99.96000000000001
961,GUJARAT,DAHOD,2012,10,67,0,17,0,7,0,97.42666666666666
962,GUJARAT,GANDHINAGAR,2012,20,26,0,10,1,159,0,97.23333333333332
963,GUJARAT,HIMATNAGAR,2012,10,55,0,22,4,249,0,95.98
964,GUJARAT,JAMNAGAR,2012,22,37,0,40,4,439,0,94.35333333333332
965,GUJARAT,JUNAGADH,2012,15,53,1,37,5,411,0,94.40666666666667
966,GUJARAT,KHEDA NORTH,2012,18,55,0,22,0,161,0,96.30000000000001
967,GUJARAT,KUTCH (EAST(G)),2012,17,23,1,12,0,188,0,97.18
968,GUJARAT,KUTCH (WEST-BHUJ),2012,8,17,0,18,0,127,0,98.02
969,GUJARAT,MEHSANA,2012,10,54,0,28,1,245,0,95.95333333333332
970,GUJARAT,NARMADA,2012,7,5,0,3,0,13,0,99.44000000000001
971,GUJARAT,NAVSARI,2012,4,15,0,4,0,114,0,98.6
972,GUJARAT,PALANPUR,2012,49,107,0,64,1,349,0,91.56666666666666
973,GUJARAT,PANCHMAHAL,2012,5,73,0,36,0,294,0,95.17333333333333
974,GUJARAT,PATAN,2012,7,31,0,32,1,151,0,97.23333333333332
975,GUJARAT,PORBANDAR,2012,10,7,1,8,0,73,0,98.73333333333333
976,GUJARAT,RAJKOT COMMR.,2012,11,50,0,10,3,264,0,96.22666666666667
977,GUJARAT,RAJKOT RURAL,2012,20,58,3,26,3,292,0,95.04666666666667
978,GUJARAT,SURAT COMMR.,2012,40,66,3,28,0,299,0,93.98666666666668
979,GUJARAT,SURAT RURAL,2012,13,30,1,14,2,94,0,97.71333333333332
980,GUJARAT,SURENDRANAGAR,2012,19,46,0,51,5,124,0,96.1
981,GUJARAT,TAPI,2012,5,3,0,9,0,17,0,99.42666666666666
982,GUJARAT,VADODARA COMMR.,2012,11,57,0,15,4,306,0,95.64666666666668
983,GUJARAT,VADODARA RURAL,2012,15,72,0,23,0,90,0,96.41999999999999
984,GUJARAT,VALSAD,2012,12,19,0,9,0,15,0,98.73333333333333
985,GUJARAT,W.RLY AHMEDABAD,2012,1,2,0,2,0,2,0,99.85333333333332
986,GUJARAT,W.RLY VADODARA,2012,0,2,0,1,0,1,0,99.92000000000002
987,GUJARAT,TOTAL,2012,473,1527,21,745,93,6658,0,-20.86666666666666
988,HARYANA,AMBALA RURAL,2012,11,19,7,12,4,73,0,98.04
989,HARYANA,AMBALA URBAN,2012,21,39,5,23,14,159,0,96.24666666666667
990,HARYANA,BHIWANI,2012,28,69,19,45,23,179,0,94.00666666666666
991,HARYANA,FARIDABAD,2012,47,87,8,31,84,197,0,92.47999999999999
992,HARYANA,FATEHABAD,2012,15,33,4,7,7,125,0,97.32
993,HARYANA,GRP,2012,1,7,5,9,83,1,0,98.31333333333333
994,HARYANA,GURGAON,2012,44,47,15,18,31,150,0,94.71333333333334
995,HARYANA,HISSAR,2012,44,88,12,39,23,312,0,92.32666666666667
996,HARYANA,JHAJJAR,2012,20,17,10,19,14,135,0,96.94666666666666
997,HARYANA,JIND,2012,34,40,17,27,0,114,0,95.70666666666666
998,HARYANA,KAITHAL,2012,18,20,6,15,0,127,0,97.4
999,HARYANA,KARNAL,2012,63,41,23,50,28,204,0,92.88666666666666
1000,HARYANA,KURUKSHETRA,2012,25,30,11,20,27,110,0,96.34
1001,HARYANA,MAHENDRAGARH,2012,14,18,10,26,0,78,0,97.58666666666667
1002,HARYANA,MEWAT,2012,50,15,5,15,7,168,0,95.92
1003,HARYANA,PALWAL,2012,32,47,12,27,0,107,0,95.81333333333333
1004,HARYANA,PANCHKULA,2012,18,23,7,13,1,51,0,97.82
1005,HARYANA,PANIPAT,2012,35,67,15,23,12,136,0,94.78666666666668
1006,HARYANA,REWARI,2012,24,20,12,16,1,102,0,97.09333333333333
1007,HARYANA,ROHTAK,2012,37,23,12,24,40,143,0,95.54
1008,HARYANA,SIRSA,2012,30,55,6,25,1,159,0,95.55999999999999
1009,HARYANA,SONIPAT,2012,32,49,30,26,25,185,0,94.32666666666665
1010,HARYANA,YAMUNANAGAR,2012,25,46,7,15,9,122,0,96.30666666666667
1011,HARYANA,TOTAL,2012,668,900,258,525,434,3137,0,3.4800000000000075
1012,HIMACHAL PRADESH,BADDIPOLICEDIST,2012,12,8,1,7,0,16,0,99.02666666666667
1013,HIMACHAL PRADESH,BILASPUR,2012,12,5,0,21,12,22,0,98.66
1014,HIMACHAL PRADESH,CHAMBA,2012,10,14,1,9,4,7,0,98.91333333333334
1015,HIMACHAL PRADESH,CID,2012,0,0,0,0,0,0,0,100.0
1016,HIMACHAL PRADESH,G.R.P.,2012,0,0,0,0,0,0,0,100.0
1017,HIMACHAL PRADESH,HAMIRPUR,2012,8,2,0,20,5,17,0,99.04666666666668
1018,HIMACHAL PRADESH,KANGRA,2012,26,47,0,45,13,43,0,96.34666666666666
1019,HIMACHAL PRADESH,KINNAUR,2012,6,2,0,1,0,5,0,99.65333333333334
1020,HIMACHAL PRADESH,KULLU,2012,22,5,0,22,0,10,0,98.48
1021,HIMACHAL PRADESH,LAHAUL-SPITI,2012,2,0,0,1,0,0,0,99.9
1022,HIMACHAL PRADESH,MANDI,2012,28,18,0,49,17,32,0,96.98
1023,HIMACHAL PRADESH,SHIMLA,2012,23,25,0,28,7,23,0,97.60666666666667
1024,HIMACHAL PRADESH,SIRMAUR,2012,17,11,0,24,4,18,0,98.37333333333333
1025,HIMACHAL PRADESH,SOLAN,2012,9,8,0,13,1,16,0,99.04666666666668
1026,HIMACHAL PRADESH,UNA,2012,8,7,0,10,5,42,0,98.94666666666666
1027,HIMACHAL PRADESH,TOTAL,2012,183,152,2,250,68,251,0,80.98
1028,JAMMU & KASHMIR,ANANTNAG,2012,14,92,0,130,33,4,0,93.91999999999999
1029,JAMMU & KASHMIR,AWANTIPORA,2012,4,29,0,11,7,1,0,98.74666666666667
1030,JAMMU & KASHMIR,BANDIPORA,2012,6,45,0,81,5,0,0,96.87333333333333
1031,JAMMU & KASHMIR,BARAMULLA,2012,12,79,0,109,23,13,0,94.84
1032,JAMMU & KASHMIR,BUDGAM,2012,7,73,0,114,15,5,0,95.25999999999999
1033,JAMMU & KASHMIR,CRIME JAMMU,2012,0,0,0,0,0,0,0,100.0
1034,JAMMU & KASHMIR,CRIME SRINAGAR,2012,0,0,0,0,0,0,0,100.0
1035,JAMMU & KASHMIR,DODA,2012,16,31,0,23,5,26,0,97.83333333333333
1036,JAMMU & KASHMIR,GANDERBAL,2012,9,32,0,97,3,2,0,96.79333333333334
1037,JAMMU & KASHMIR,HANDWARA,2012,6,35,0,88,3,2,0,97.01333333333332
1038,JAMMU & KASHMIR,JAMMU,2012,39,92,5,44,33,67,0,94.05333333333333
1039,JAMMU & KASHMIR,KARGIL,2012,1,0,0,1,0,0,0,99.94
1040,JAMMU & KASHMIR,KATHUA,2012,20,34,1,30,12,14,0,97.40666666666667
1041,JAMMU & KASHMIR,KISHTWAR,2012,6,23,0,12,1,11,0,98.82
1042,JAMMU & KASHMIR,KULGAM,2012,15,68,0,96,19,2,0,95.39999999999999
1043,JAMMU & KASHMIR,KUPWARA,2012,15,49,0,53,16,9,0,96.76
1044,JAMMU & KASHMIR,LEH,2012,3,1,0,5,0,0,0,99.75333333333333
1045,JAMMU & KASHMIR,POONCH,2012,9,41,0,31,6,14,0,97.75333333333334
1046,JAMMU & KASHMIR,PULWAMA,2012,3,21,0,8,19,0,0,98.90666666666667
1047,JAMMU & KASHMIR,RAILWAYS JAMMU,2012,0,0,0,0,1,0,0,99.98666666666666
1048,JAMMU & KASHMIR,RAILWAYS KASHMIR,2012,0,1,0,0,0,0,0,99.97333333333333
1049,JAMMU & KASHMIR,RAILWAYS KATRA,2012,0,0,0,0,0,0,0,100.0
1050,JAMMU & KASHMIR,RAJOURI,2012,32,54,1,51,11,44,0,95.78666666666666
1051,JAMMU & KASHMIR,RAMBAN,2012,7,22,0,9,6,0,0,98.87333333333333
1052,JAMMU & KASHMIR,REASI,2012,12,18,0,14,6,2,0,98.66666666666667
1053,JAMMU & KASHMIR,SAMBA,2012,8,9,1,10,11,4,0,99.03333333333335
1054,JAMMU & KASHMIR,SHOPIAN,2012,3,47,0,29,9,0,0,97.92666666666668
1055,JAMMU & KASHMIR,SOPORE,2012,7,34,0,55,9,6,0,97.55333333333333
1056,JAMMU & KASHMIR,SRINAGAR,2012,19,89,0,201,82,63,0,91.33333333333333
1057,JAMMU & KASHMIR,UDHAMPUR,2012,30,22,0,20,12,12,0,97.57333333333334
1058,JAMMU & KASHMIR,TOTAL,2012,303,1041,8,1322,347,301,0,26.78
1059,JHARKHAND,BOKARO,2012,46,63,21,4,0,212,0,94.28666666666666
1060,JHARKHAND,CHAIBASA,2012,34,15,6,8,0,20,1,97.69999999999999
1061,JHARKHAND,CHATRA,2012,15,20,8,6,0,18,0,98.36
1062,JHARKHAND,DEOGHAR,2012,38,3,18,35,0,159,0,96.03999999999999
1063,JHARKHAND,DHANBAD,2012,41,101,49,4,2,89,0,93.33333333333334
1064,JHARKHAND,DHANBAD RAILWAY,2012,2,2,1,8,0,2,0,99.66
1065,JHARKHAND,DUMKA,2012,29,26,8,12,0,43,0,97.35333333333332
1066,JHARKHAND,GARHWA,2012,43,21,21,14,0,68,0,96.28666666666666
1067,JHARKHAND,GIRIDIH,2012,37,36,32,46,0,104,0,94.88
1068,JHARKHAND,GODDA,2012,22,42,11,2,0,0,0,97.59333333333333
1069,JHARKHAND,GUMLA,2012,36,44,2,9,0,6,0,97.10000000000001
1070,JHARKHAND,HAZARIBAGH,2012,42,49,24,9,0,54,0,95.67333333333335
1071,JHARKHAND,JAMSHEDPUR,2012,56,91,17,22,3,106,0,93.58000000000001
1072,JHARKHAND,JAMSHEDPUR RAILWAY,2012,1,1,0,0,0,0,0,99.93333333333334
1073,JHARKHAND,JAMTARA,2012,27,10,5,1,0,72,0,97.98666666666668
1074,JHARKHAND,KHUNTI,2012,8,10,1,2,1,0,0,99.32666666666665
1075,JHARKHAND,KODERMA,2012,8,22,13,12,0,29,0,98.22666666666666
1076,JHARKHAND,LATEHAR,2012,15,16,4,6,0,10,0,98.65333333333334
1077,JHARKHAND,LOHARDAGGA,2012,23,18,1,6,0,23,0,98.29333333333332
1078,JHARKHAND,PAKUR,2012,53,18,1,10,0,64,0,96.74
1079,JHARKHAND,PALAMU,2012,26,30,28,10,0,20,0,96.89333333333335
1080,JHARKHAND,RAMGARH,2012,26,19,7,10,2,7,0,97.94666666666666
1081,JHARKHAND,RANCHI,2012,52,53,11,22,1,45,0,95.38666666666666
1082,JHARKHAND,SAHEBGANJ,2012,65,45,6,11,1,74,2,95.18
1083,JHARKHAND,SARAIKELA,2012,35,14,6,10,0,25,0,97.66
1084,JHARKHAND,SIMDEGA,2012,32,17,1,5,0,11,0,98.05999999999999
1085,JHARKHAND,TOTAL,2012,812,786,302,284,10,1261,3,22.13333333333333
1086,KARNATAKA,BAGALKOT,2012,11,14,6,63,0,72,2,97.15333333333334
1087,KARNATAKA,BANGALORE COMMR.,2012,90,433,51,321,51,524,0,72.56
1088,KARNATAKA,BANGALORE RURAL,2012,31,41,10,70,0,96,0,95.29333333333334
1089,KARNATAKA,BELGAUM,2012,37,34,5,205,9,307,0,91.18
1090,KARNATAKA,BELLARY,2012,18,24,9,48,0,104,0,96.68666666666667
1091,KARNATAKA,BIDAR,2012,11,24,10,40,2,99,0,97.10000000000001
1092,KARNATAKA,BIJAPUR,2012,18,24,4,41,0,128,9,96.41333333333334
1093,KARNATAKA,CBPURA,2012,12,20,12,56,3,36,0,97.18666666666667
1094,KARNATAKA,CHAMARAJNAGAR,2012,9,8,2,64,0,62,1,97.62
1095,KARNATAKA,CHICKMAGALUR,2012,11,7,4,70,2,89,4,97.03333333333333
1096,KARNATAKA,CHITRADURGA,2012,26,34,6,140,0,75,0,94.55333333333334
1097,KARNATAKA,DAKSHIN KANNADA,2012,12,9,2,35,8,42,0,98.12666666666667
1098,KARNATAKA,DAVANAGERE,2012,17,20,8,117,0,119,0,95.38666666666666
1099,KARNATAKA,DHARWAD COMMR.,2012,6,42,2,16,0,65,0,97.82
1100,KARNATAKA,DHARWAD RURAL,2012,5,3,0,38,0,24,0,98.80000000000001
1101,KARNATAKA,GADAG,2012,6,12,2,59,0,47,0,97.88
1102,KARNATAKA,GULBARGA,2012,29,39,10,132,0,151,0,93.82
1103,KARNATAKA,HASSAN,2012,21,19,5,120,1,155,0,95.03999999999999
1104,KARNATAKA,HAVERI,2012,12,0,3,72,0,68,0,97.52666666666667
1105,KARNATAKA,K.G.F.,2012,10,0,2,10,0,19,0,99.20666666666668
1106,KARNATAKA,KODAGU,2012,12,3,2,25,0,43,0,98.58666666666666
1107,KARNATAKA,KOLAR,2012,18,14,1,37,0,34,0,97.90666666666667
1108,KARNATAKA,KOPPAL,2012,7,0,0,17,0,87,0,98.80000000000001
1109,KARNATAKA,MANDYA,2012,35,39,9,149,1,204,1,92.86
1110,KARNATAKA,MANGALORE CITY,2012,12,4,1,29,1,48,3,98.32666666666667
1111,KARNATAKA,MYSORE COMMR.,2012,12,10,6,22,0,32,12,97.84
1112,KARNATAKA,MYSORE RURAL,2012,28,47,1,163,0,158,0,93.28
1113,KARNATAKA,RAICHUR,2012,19,25,1,141,0,190,0,94.45333333333335
1114,KARNATAKA,RAILWAYS,2012,2,1,2,2,1,0,0,99.77333333333334
1115,KARNATAKA,RAMANAGAR,2012,16,53,17,112,0,73,0,94.65333333333334
1116,KARNATAKA,SHIMOGA,2012,14,24,6,158,3,222,0,93.91999999999999
